line,part_number,part_number_description,images,attributes
SYL,4057LEDBP2,4057 High Performance White ZEVO LED Mini Bulb (Pack of 2),"'{""syl/4057ledbp_01_001.jpg"",""syl/4057ledbp_01_002.jpg"",""syl/4057ledbp_01_003.jpg"",""syl/4057ledbp_01_004.jpg"",""syl/4057ledbp_01_005.jpg"",""syl/4057ledbp_01_006.jpg"",""syl/4057ledbp_01_007.jpg"",""syl/4057ledbp_01_008.jpg"",""syl/4057ledbp_01_009.jpg"",""syl/4057ledbp_01_010.jpg"",""syl/4057ledbp_01_011.jpg"",""syl/4057ledbp_01_012.jpg"",""syl/4057ledbp_01_013.jpg"",""syl/4057ledbp_01_014.jpg"",""syl/4057ledbp_01_015.jpg"",""syl/4057ledbp_01_016.jpg"",""syl/4057ledbp_01_017.jpg"",""syl/4057ledbp_01_018.jpg"",""syl/4057ledbp_01_019.jpg"",""syl/4057ledbp_01_020.jpg"",""syl/4057ledbp_01_021.jpg"",""syl/4057ledbp_01_022.jpg"",""syl/4057ledbp_01_023.jpg"",""syl/4057ledbp_01_024.jpg"",""syl/sylvania-4057-led-bp2-brs-es-10.jpg"",""syl/sylvania-4057-led-bp2-coc-es-08.jpg"",""syl/sylvania-4057-led-bp2-dif-es-06.jpg"",""syl/sylvania-4057-led-bp2-dtp-es-05.jpg"",""syl/sylvania-4057-led-bp2-lil-es-07.jpg"",""syl/sylvania-4057-led-bp2-mtf-es-04.jpg"",""syl/sylvania-4057-led-bp2-opt-es-03.jpg"",""syl/sylvania-4057-led-bp2-prm-es-01.jpg"",""syl/sylvania-4057-led-bp2-wty-es-09.jpg""}'","[{""Overall Length (in)"" : ""2-1/16 Inch""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Industry Number"" : ""4057""}, {""Color"" : ""Cool White""}, {""Overall Length (mm)"" : ""52mm""}, {""Wattage (W)"" : ""2.1 Watt""}, {""Base Type"" : ""S8WDC""}, {""Number Of Filaments"" : ""2""}, {""Amperage (A)"" : ""0.16 Amp""}, {""Bulb Type"" : ""LED""}, {""Bulb Diameter (mm)"" : ""19mm""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Bulb Family"" : ""S8""}, {""Street Legal"" : ""No""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}]"
SYL,4114ALEDBP2,4114 High Performance Amber ZEVO LED Mini Bulb (Pack of 2),"'{""syl/4114aledbp_01_001.jpg"",""syl/4114aledbp_01_002.jpg"",""syl/4114aledbp_01_003.jpg"",""syl/4114aledbp_01_004.jpg"",""syl/4114aledbp_01_005.jpg"",""syl/4114aledbp_01_006.jpg"",""syl/4114aledbp_01_007.jpg"",""syl/4114aledbp_01_008.jpg"",""syl/4114aledbp_01_009.jpg"",""syl/4114aledbp_01_010.jpg"",""syl/4114aledbp_01_011.jpg"",""syl/4114aledbp_01_012.jpg"",""syl/4114aledbp_01_013.jpg"",""syl/4114aledbp_01_014.jpg"",""syl/4114aledbp_01_015.jpg"",""syl/4114aledbp_01_016.jpg"",""syl/4114aledbp_01_017.jpg"",""syl/4114aledbp_01_018.jpg"",""syl/4114aledbp_01_019.jpg"",""syl/4114aledbp_01_020.jpg"",""syl/4114aledbp_01_021.jpg"",""syl/4114aledbp_01_022.jpg"",""syl/4114aledbp_01_023.jpg"",""syl/4114aledbp_01_024.jpg"",""syl/led-mini-comparison_chart.jpg"",""syl/sylvania_4114a_bp2_zevo_primary.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_backview.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_bottomview.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_frontview.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_leftview.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_rightview.jpg"",""syl/sylvania_4114a_g2_bp2_zevo_topview.jpg""}'","[{""Base Type"" : ""S8W DC""}, {""Number Of Filaments"" : ""2""}]"
SYL,4114LEDBP2,4114 High Performance White ZEVO LED Mini Bulb (Pack of 2),"'{""syl/4114ledbp_01_001.jpg"",""syl/4114ledbp_01_002.jpg"",""syl/4114ledbp_01_003.jpg"",""syl/4114ledbp_01_004.jpg"",""syl/4114ledbp_01_005.jpg"",""syl/4114ledbp_01_006.jpg"",""syl/4114ledbp_01_007.jpg"",""syl/4114ledbp_01_008.jpg"",""syl/4114ledbp_01_009.jpg"",""syl/4114ledbp_01_010.jpg"",""syl/4114ledbp_01_011.jpg"",""syl/4114ledbp_01_012.jpg"",""syl/4114ledbp_01_013.jpg"",""syl/4114ledbp_01_014.jpg"",""syl/4114ledbp_01_015.jpg"",""syl/4114ledbp_01_016.jpg"",""syl/4114ledbp_01_017.jpg"",""syl/4114ledbp_01_018.jpg"",""syl/4114ledbp_01_019.jpg"",""syl/4114ledbp_01_020.jpg"",""syl/4114ledbp_01_021.jpg"",""syl/4114ledbp_01_022.jpg"",""syl/4114ledbp_01_023.jpg"",""syl/4114ledbp_01_024.jpg"",""syl/sylvania-4114-led-bp2-brs-es-10.jpg"",""syl/sylvania-4114-led-bp2-coc-es-08.jpg"",""syl/sylvania-4114-led-bp2-dif-es-06.jpg"",""syl/sylvania-4114-led-bp2-dtp-es-05.jpg"",""syl/sylvania-4114-led-bp2-lil-es-07.jpg"",""syl/sylvania-4114-led-bp2-mtf-es-04.jpg"",""syl/sylvania-4114-led-bp2-opt-es-03.jpg"",""syl/sylvania-4114-led-bp2-prm-es-01.jpg"",""syl/sylvania-4114-led-bp2-wty-es-09.jpg""}'","[{""Street Legal"" : ""No""}, {""Overall Length (in)"" : ""13/16 Inch""}, {""Color"" : ""Cool White""}, {""Package Quantity"" : ""2""}, {""Wattage (W)"" : ""1.7, 0.7 Watt""}, {""Number Of Filaments"" : ""2""}, {""Industry Number"" : ""4114""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Base Type"" : ""S8W DC""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Amperage (A)"" : ""0.05, 0.13 Amp""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Bulb Diameter (in)"" : ""1 Inch""}]"
SYL,4157LEDBP2,4157 High Performance White ZEVO LED Mini Bulb (Pack of 2),"'{""syl/4157ledbp_01_001.jpg"",""syl/4157ledbp_01_002.jpg"",""syl/4157ledbp_01_003.jpg"",""syl/4157ledbp_01_004.jpg"",""syl/4157ledbp_01_005.jpg"",""syl/4157ledbp_01_006.jpg"",""syl/4157ledbp_01_007.jpg"",""syl/4157ledbp_01_008.jpg"",""syl/4157ledbp_01_009.jpg"",""syl/4157ledbp_01_010.jpg"",""syl/4157ledbp_01_011.jpg"",""syl/4157ledbp_01_012.jpg"",""syl/4157ledbp_01_013.jpg"",""syl/4157ledbp_01_014.jpg"",""syl/4157ledbp_01_015.jpg"",""syl/4157ledbp_01_016.jpg"",""syl/4157ledbp_01_017.jpg"",""syl/4157ledbp_01_018.jpg"",""syl/4157ledbp_01_019.jpg"",""syl/4157ledbp_01_020.jpg"",""syl/4157ledbp_01_021.jpg"",""syl/4157ledbp_01_022.jpg"",""syl/4157ledbp_01_023.jpg"",""syl/4157ledbp_01_024.jpg"",""syl/sylvania-4157-led-bp2-brs-es-10.jpg"",""syl/sylvania-4157-led-bp2-coc-es-08.jpg"",""syl/sylvania-4157-led-bp2-dif-es-06.jpg"",""syl/sylvania-4157-led-bp2-dtp-es-05.jpg"",""syl/sylvania-4157-led-bp2-lil-es-07.jpg"",""syl/sylvania-4157-led-bp2-mtf-es-04.jpg"",""syl/sylvania-4157-led-bp2-opt-es-03.jpg"",""syl/sylvania-4157-led-bp2-prm-es-01.jpg"",""syl/sylvania-4157-led-bp2-wty-es-09.jpg""}'","[{""Overall Length (in)"" : ""2-1/16 Inch""}, {""Wattage (W)"" : ""2.1, 0.4 Watt""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Street Legal"" : ""No""}, {""Color"" : ""Cool White""}, {""Amperage (A)"" : ""0.03, 0.16 Amp""}, {""Number Of Filaments"" : ""2""}, {""Base Type"" : ""S8WDC""}, {""Light Center Length (in)"" : ""1-1/8 Inch""}, {""Industry Number"" : ""4157""}, {""Color Temperature (Kelvin)"" : ""6000K""}]"
SYL,5201LEDBP,Bulb; 5201; LED; 1 Pack,"'{""syl/5201ledbx_01_001.jpg"",""syl/5201ledbx_01_002.jpg"",""syl/5201ledbx_01_003.jpg"",""syl/5201ledbx_01_004.jpg"",""syl/5201ledbx_01_005.jpg"",""syl/5201ledbx_01_006.jpg"",""syl/5201ledbx_01_007.jpg"",""syl/5201ledbx_01_008.jpg"",""syl/5201ledbx_01_009.jpg"",""syl/5201ledbx_01_010.jpg"",""syl/5201ledbx_01_011.jpg"",""syl/5201ledbx_01_012.jpg"",""syl/5201ledbx_01_013.jpg"",""syl/5201ledbx_01_014.jpg"",""syl/5201ledbx_01_015.jpg"",""syl/5201ledbx_01_016.jpg"",""syl/5201ledbx_01_017.jpg"",""syl/5201ledbx_01_018.jpg"",""syl/5201ledbx_01_019.jpg"",""syl/5201ledbx_01_020.jpg"",""syl/5201ledbx_01_021.jpg"",""syl/5201ledbx_01_022.jpg"",""syl/5201ledbx_01_023.jpg"",""syl/5201ledbx_01_024.jpg"",""syl/sylvania-5201-led-bp-brs-es-10.jpg"",""syl/sylvania-5201-led-bp-coc-es-08.jpg"",""syl/sylvania-5201-led-bp-dif-es-06.jpg"",""syl/sylvania-5201-led-bp-dtp-es-05.jpg"",""syl/sylvania-5201-led-bp-lil-es-07.jpg"",""syl/sylvania-5201-led-bp-mtf-es-04.jpg"",""syl/sylvania-5201-led-bp-opt-es-03.jpg"",""syl/sylvania-5201-led-bp-prm-es-01.jpg"",""syl/sylvania-5201-led-bp-wty-es-09.jpg""}'","[{""Number Of Filaments"" : ""1""}]"
SYL,578LEDBP,578 High Performance White ZEVO LED Mini Bulb (Pack of 1),"'{""syl/578ledbp_01_001.jpg"",""syl/578ledbp_01_002.jpg"",""syl/578ledbp_01_003.jpg"",""syl/578ledbp_01_004.jpg"",""syl/578ledbp_01_005.jpg"",""syl/578ledbp_01_006.jpg"",""syl/578ledbp_01_007.jpg"",""syl/578ledbp_01_008.jpg"",""syl/578ledbp_01_009.jpg"",""syl/578ledbp_01_010.jpg"",""syl/578ledbp_01_011.jpg"",""syl/578ledbp_01_012.jpg"",""syl/578ledbp_01_013.jpg"",""syl/578ledbp_01_014.jpg"",""syl/578ledbp_01_015.jpg"",""syl/578ledbp_01_016.jpg"",""syl/578ledbp_01_017.jpg"",""syl/578ledbp_01_018.jpg"",""syl/578ledbp_01_019.jpg"",""syl/578ledbp_01_020.jpg"",""syl/578ledbp_01_021.jpg"",""syl/578ledbp_01_022.jpg"",""syl/578ledbp_01_023.jpg"",""syl/578ledbp_01_024.jpg"",""syl/sylvania-578-led-bp-bop-es-02.jpg"",""syl/sylvania-578-led-bp-brs-es-10.jpg"",""syl/sylvania-578-led-bp-coc-es-08.jpg"",""syl/sylvania-578-led-bp-dif-es-06.jpg"",""syl/sylvania-578-led-bp-dtp-es-05.jpg"",""syl/sylvania-578-led-bp-lil-es-07.jpg"",""syl/sylvania-578-led-bp-mtf-es-04.jpg"",""syl/sylvania-578-led-bp-opt-es-03.jpg"",""syl/sylvania-578-led-bp-prm-es-01.jpg"",""syl/sylvania-578-led-bp-wty-es-09.jpg""}'","[{""Number Of Filaments"" : ""1""}, {""Base Type"" : ""C5W""}, {""Street Legal"" : ""No""}, {""Color"" : ""Cool White""}, {""Overall Length (in)"" : ""1-9/16 Inch""}, {""Industry Number"" : ""578""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Bulb Family"" : ""T3""}, {""Bulb Diameter (in)"" : ""7/16 Inch""}, {""Bulb Type"" : ""LED""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""1.4 Watt""}, {""Amperage (A)"" : ""0.11 Amp""}]"
SYL,6411LEDBP,6411 High Performance White ZEVO LED Mini Bulb (Pack of 1),"'{""syl/6411ledbp_01_001.jpg"",""syl/6411ledbp_01_002.jpg"",""syl/6411ledbp_01_003.jpg"",""syl/6411ledbp_01_004.jpg"",""syl/6411ledbp_01_005.jpg"",""syl/6411ledbp_01_006.jpg"",""syl/6411ledbp_01_007.jpg"",""syl/6411ledbp_01_008.jpg"",""syl/6411ledbp_01_009.jpg"",""syl/6411ledbp_01_010.jpg"",""syl/6411ledbp_01_011.jpg"",""syl/6411ledbp_01_012.jpg"",""syl/6411ledbp_01_013.jpg"",""syl/6411ledbp_01_014.jpg"",""syl/6411ledbp_01_015.jpg"",""syl/6411ledbp_01_016.jpg"",""syl/6411ledbp_01_017.jpg"",""syl/6411ledbp_01_018.jpg"",""syl/6411ledbp_01_019.jpg"",""syl/6411ledbp_01_020.jpg"",""syl/6411ledbp_01_021.jpg"",""syl/6411ledbp_01_022.jpg"",""syl/6411ledbp_01_023.jpg"",""syl/6411ledbp_01_024.jpg"",""syl/sylvania-6411-led-bp-bop-es-02.jpg"",""syl/sylvania-6411-led-bp-brs-es-10.jpg"",""syl/sylvania-6411-led-bp-coc-es-08.jpg"",""syl/sylvania-6411-led-bp-dif-es-06.jpg"",""syl/sylvania-6411-led-bp-dtp-es-05.jpg"",""syl/sylvania-6411-led-bp-lil-es-07.jpg"",""syl/sylvania-6411-led-bp-mtf-es-04.jpg"",""syl/sylvania-6411-led-bp-opt-es-03.jpg"",""syl/sylvania-6411-led-bp-prm-es-01.jpg"",""syl/sylvania-6411-led-bp-wty-es-09.jpg""}'","[{""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""1.4 Watt""}, {""Amperage (A)"" : ""0.11 Amp""}, {""Industry Number"" : ""6411""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Street Legal"" : ""No""}, {""Number Of Filaments"" : ""1""}, {""Overall Length (in)"" : ""1-9/16 Inch""}, {""Bulb Type"" : ""LED""}]"
SYL,6418LEDBP,6418 High Performance White ZEVO LED Mini Bulb (Pack of 1),"'{""syl/6418ledbp_01_001.jpg"",""syl/6418ledbp_01_002.jpg"",""syl/6418ledbp_01_003.jpg"",""syl/6418ledbp_01_004.jpg"",""syl/6418ledbp_01_005.jpg"",""syl/6418ledbp_01_006.jpg"",""syl/6418ledbp_01_007.jpg"",""syl/6418ledbp_01_008.jpg"",""syl/6418ledbp_01_009.jpg"",""syl/6418ledbp_01_010.jpg"",""syl/6418ledbp_01_011.jpg"",""syl/6418ledbp_01_012.jpg"",""syl/6418ledbp_01_013.jpg"",""syl/6418ledbp_01_014.jpg"",""syl/6418ledbp_01_015.jpg"",""syl/6418ledbp_01_016.jpg"",""syl/6418ledbp_01_017.jpg"",""syl/6418ledbp_01_018.jpg"",""syl/6418ledbp_01_019.jpg"",""syl/6418ledbp_01_020.jpg"",""syl/6418ledbp_01_021.jpg"",""syl/6418ledbp_01_022.jpg"",""syl/6418ledbp_01_023.jpg"",""syl/6418ledbp_01_024.jpg"",""syl/sylvania-6418-led-bp-brs-es-10.jpg"",""syl/sylvania-6418-led-bp-coc-es-08.jpg"",""syl/sylvania-6418-led-bp-dif-es-06.jpg"",""syl/sylvania-6418-led-bp-dtp-es-05.jpg"",""syl/sylvania-6418-led-bp-lil-es-07.jpg"",""syl/sylvania-6418-led-bp-mtf-es-04.jpg"",""syl/sylvania-6418-led-bp-opt-es-03.jpg"",""syl/sylvania-6418-led-bp-prm-es-01.jpg"",""syl/sylvania-6418-led-bp-wty-es-09.jpg""}'","[{""Street Legal"" : ""No""}, {""Wattage (W)"" : ""1.35 Watt""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Industry Number"" : ""6418""}, {""Bulb Type"" : ""LED""}, {""Number Of Filaments"" : ""1""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Amperage (A)"" : ""0.11 Amp""}]"
SYL,7440ALEDBP2,7440 High Performance Amber ZEVO LED Mini Bulb (Pack of 2),"'{""syl/7440aledbp_01_001.jpg"",""syl/7440aledbp_01_002.jpg"",""syl/7440aledbp_01_003.jpg"",""syl/7440aledbp_01_004.jpg"",""syl/7440aledbp_01_005.jpg"",""syl/7440aledbp_01_006.jpg"",""syl/7440aledbp_01_007.jpg"",""syl/7440aledbp_01_008.jpg"",""syl/7440aledbp_01_009.jpg"",""syl/7440aledbp_01_010.jpg"",""syl/7440aledbp_01_011.jpg"",""syl/7440aledbp_01_012.jpg"",""syl/7440aledbp_01_013.jpg"",""syl/7440aledbp_01_014.jpg"",""syl/7440aledbp_01_015.jpg"",""syl/7440aledbp_01_016.jpg"",""syl/7440aledbp_01_017.jpg"",""syl/7440aledbp_01_018.jpg"",""syl/7440aledbp_01_019.jpg"",""syl/7440aledbp_01_020.jpg"",""syl/7440aledbp_01_021.jpg"",""syl/7440aledbp_01_022.jpg"",""syl/7440aledbp_01_023.jpg"",""syl/7440aledbp_01_024.jpg"",""syl/sylvania-7440a-led-bp2-brs-es-10.jpg"",""syl/sylvania-7440a-led-bp2-coc-es-08.jpg"",""syl/sylvania-7440a-led-bp2-dif-es-06.jpg"",""syl/sylvania-7440a-led-bp2-dtp-es-05.jpg"",""syl/sylvania-7440a-led-bp2-lil-es-07.jpg"",""syl/sylvania-7440a-led-bp2-mtf-es-04.jpg"",""syl/sylvania-7440a-led-bp2-opt-es-03.jpg"",""syl/sylvania-7440a-led-bp2-prm-es-01.jpg"",""syl/sylvania-7440a-led-bp2-wty-es-09.jpg""}'","[{""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""2 Watt""}, {""Light Center Length (in)"" : ""1 Inch""}, {""Color"" : ""Amber""}, {""Amperage (A)"" : ""0.16 Amp""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Number Of Filaments"" : ""1""}, {""Bulb Type"" : ""LED""}, {""Bulb Diameter (mm)"" : ""19mm""}, {""Overall Length (in)"" : ""1-13/16 Inch""}, {""Industry Number"" : ""7440""}, {""Base Type"" : ""T20""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Overall Length (mm)"" : ""46mm""}, {""Street Legal"" : ""No""}, {""Bulb Family"" : ""T10""}, {""SAE/DOT Compliant"" : ""Yes""}]"
SYL,7440LEDBP2,7440 High Performance White ZEVO LED Mini Bulb (Pack of 2),"'{""syl/7440ledbp_01_001.jpg"",""syl/7440ledbp_01_002.jpg"",""syl/7440ledbp_01_003.jpg"",""syl/7440ledbp_01_004.jpg"",""syl/7440ledbp_01_005.jpg"",""syl/7440ledbp_01_006.jpg"",""syl/7440ledbp_01_007.jpg"",""syl/7440ledbp_01_008.jpg"",""syl/7440ledbp_01_009.jpg"",""syl/7440ledbp_01_010.jpg"",""syl/7440ledbp_01_011.jpg"",""syl/7440ledbp_01_012.jpg"",""syl/7440ledbp_01_013.jpg"",""syl/7440ledbp_01_014.jpg"",""syl/7440ledbp_01_015.jpg"",""syl/7440ledbp_01_016.jpg"",""syl/7440ledbp_01_017.jpg"",""syl/7440ledbp_01_018.jpg"",""syl/7440ledbp_01_019.jpg"",""syl/7440ledbp_01_020.jpg"",""syl/7440ledbp_01_021.jpg"",""syl/7440ledbp_01_022.jpg"",""syl/7440ledbp_01_023.jpg"",""syl/7440ledbp_01_024.jpg"",""syl/sylvania-7440-led-bp2-bop-es-02.jpg"",""syl/sylvania-7440-led-bp2-brs-es-10.jpg"",""syl/sylvania-7440-led-bp2-coc-es-08.jpg"",""syl/sylvania-7440-led-bp2-dif-es-06.jpg"",""syl/sylvania-7440-led-bp2-dtp-es-05.jpg"",""syl/sylvania-7440-led-bp2-lil-es-07.jpg"",""syl/sylvania-7440-led-bp2-mtf-es-04.jpg"",""syl/sylvania-7440-led-bp2-opt-es-03.jpg"",""syl/sylvania-7440-led-bp2-prm-es-01.jpg"",""syl/sylvania-7440-led-bp2-wty-es-09.jpg""}'","[{""Wattage (W)"" : ""2.1 Watt""}, {""Overall Length (mm)"" : ""46mm""}, {""Color"" : ""Cool White""}, {""SAE/DOT Compliant"" : ""Yes""}, {""Amperage (A)"" : ""0.16 Amp""}, {""Bulb Diameter (mm)"" : ""19mm""}, {""Street Legal"" : ""No""}, {""Overall Length (in)"" : ""1-13/16 Inch""}, {""Bulb Diameter (in)"" : ""13/16 Inch""}, {""Industry Number"" : ""7440""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Base Type"" : ""T20 SC""}, {""Bulb Family"" : ""T6""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Light Center Length (in)"" : ""1 Inch""}]"
SYL,7440RLEDBP2,7440 High Performance Red ZEVO LED Mini Bulb (Pack of 2),"'{""syl/7440rledbp_01_001.jpg"",""syl/7440rledbp_01_002.jpg"",""syl/7440rledbp_01_003.jpg"",""syl/7440rledbp_01_004.jpg"",""syl/7440rledbp_01_005.jpg"",""syl/7440rledbp_01_006.jpg"",""syl/7440rledbp_01_007.jpg"",""syl/7440rledbp_01_008.jpg"",""syl/7440rledbp_01_009.jpg"",""syl/7440rledbp_01_010.jpg"",""syl/7440rledbp_01_011.jpg"",""syl/7440rledbp_01_012.jpg"",""syl/7440rledbp_01_013.jpg"",""syl/7440rledbp_01_014.jpg"",""syl/7440rledbp_01_015.jpg"",""syl/7440rledbp_01_016.jpg"",""syl/7440rledbp_01_017.jpg"",""syl/7440rledbp_01_018.jpg"",""syl/7440rledbp_01_019.jpg"",""syl/7440rledbp_01_020.jpg"",""syl/7440rledbp_01_021.jpg"",""syl/7440rledbp_01_022.jpg"",""syl/7440rledbp_01_023.jpg"",""syl/7440rledbp_01_024.jpg"",""syl/sylvania-7440r-led-bp2-bop-es-02.jpg"",""syl/sylvania-7440r-led-bp2-brs-es-10.jpg"",""syl/sylvania-7440r-led-bp2-coc-es-08.jpg"",""syl/sylvania-7440r-led-bp2-dif-es-06.jpg"",""syl/sylvania-7440r-led-bp2-dtp-es-05.jpg"",""syl/sylvania-7440r-led-bp2-lil-es-07.jpg"",""syl/sylvania-7440r-led-bp2-mtf-es-04.jpg"",""syl/sylvania-7440r-led-bp2-opt-es-03.jpg"",""syl/sylvania-7440r-led-bp2-prm-es-01.jpg"",""syl/sylvania-7440r-led-bp2-wty-es-09.jpg""}'","[{""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""1.4 Watt""}, {""Amperage (A)"" : ""0.11 Amp""}, {""Light Center Length (in)"" : ""1 Inch""}, {""Bulb Family"" : ""T10""}, {""Bulb Type"" : ""LED""}, {""Number Of Filaments"" : ""1""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Base Type"" : ""T20SC""}, {""Package Quantity"" : ""2""}, {""Industry Number"" : ""7440""}, {""Street Legal"" : ""No""}, {""Overall Length (in)"" : ""1-13/16 Inch""}, {""Color"" : ""Red""}]"
SYL,7443ALEDBP2,7443 High Performance Amber ZEVO LED Mini Bulb (Pack of 2),"'{""syl/7443aled_01_001.jpg"",""syl/7443aled_01_002.jpg"",""syl/7443aled_01_003.jpg"",""syl/7443aled_01_004.jpg"",""syl/7443aled_01_005.jpg"",""syl/7443aled_01_006.jpg"",""syl/7443aled_01_007.jpg"",""syl/7443aled_01_008.jpg"",""syl/7443aled_01_009.jpg"",""syl/7443aled_01_010.jpg"",""syl/7443aled_01_011.jpg"",""syl/7443aled_01_012.jpg"",""syl/7443aled_01_013.jpg"",""syl/7443aled_01_014.jpg"",""syl/7443aled_01_015.jpg"",""syl/7443aled_01_016.jpg"",""syl/7443aled_01_017.jpg"",""syl/7443aled_01_018.jpg"",""syl/7443aled_01_019.jpg"",""syl/7443aled_01_020.jpg"",""syl/7443aled_01_021.jpg"",""syl/7443aled_01_022.jpg"",""syl/7443aled_01_023.jpg"",""syl/7443aled_01_024.jpg"",""syl/sylvania-7443a-led-bp2-brs-es-10.jpg"",""syl/sylvania-7443a-led-bp2-coc-es-08.jpg"",""syl/sylvania-7443a-led-bp2-dif-es-06.jpg"",""syl/sylvania-7443a-led-bp2-dtp-es-05.jpg"",""syl/sylvania-7443a-led-bp2-lil-es-07.jpg"",""syl/sylvania-7443a-led-bp2-mtf-es-04.jpg"",""syl/sylvania-7443a-led-bp2-opt-es-03.jpg"",""syl/sylvania-7443a-led-bp2-prm-es-01.jpg"",""syl/sylvania-7443a-led-bp2-wty-es-09.jpg""}'","[{""Wattage (W)"" : ""1.5, 0.4 Watt""}, {""Number Of Filaments"" : ""2""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Color"" : ""Amber""}, {""Industry Number"" : ""7443""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Amperage (A)"" : ""0.2 Amp""}]"
SYL,7443LEDBP2,7443 High Performance White ZEVO LED Mini Bulb (Pack of 2),"'{""syl/7443ledbp_01_001.jpg"",""syl/7443ledbp_01_002.jpg"",""syl/7443ledbp_01_003.jpg"",""syl/7443ledbp_01_004.jpg"",""syl/7443ledbp_01_005.jpg"",""syl/7443ledbp_01_006.jpg"",""syl/7443ledbp_01_007.jpg"",""syl/7443ledbp_01_008.jpg"",""syl/7443ledbp_01_009.jpg"",""syl/7443ledbp_01_010.jpg"",""syl/7443ledbp_01_011.jpg"",""syl/7443ledbp_01_012.jpg"",""syl/7443ledbp_01_013.jpg"",""syl/7443ledbp_01_014.jpg"",""syl/7443ledbp_01_015.jpg"",""syl/7443ledbp_01_016.jpg"",""syl/7443ledbp_01_017.jpg"",""syl/7443ledbp_01_018.jpg"",""syl/7443ledbp_01_019.jpg"",""syl/7443ledbp_01_020.jpg"",""syl/7443ledbp_01_021.jpg"",""syl/7443ledbp_01_022.jpg"",""syl/7443ledbp_01_023.jpg"",""syl/7443ledbp_01_024.jpg"",""syl/sylvania-7443-led-bp2-bop-es-02.jpg"",""syl/sylvania-7443-led-bp2-brs-es-10.jpg"",""syl/sylvania-7443-led-bp2-coc-es-08.jpg"",""syl/sylvania-7443-led-bp2-dif-es-06.jpg"",""syl/sylvania-7443-led-bp2-dtp-es-05.jpg"",""syl/sylvania-7443-led-bp2-lil-es-07.jpg"",""syl/sylvania-7443-led-bp2-mtf-es-04.jpg"",""syl/sylvania-7443-led-bp2-opt-es-03.jpg"",""syl/sylvania-7443-led-bp2-prm-es-01.jpg"",""syl/sylvania-7443-led-bp2-wty-es-09.jpg""}'","[{""Voltage (V)"" : ""12.8 Volt""}, {""Wattage (W)"" : ""2 Watt""}, {""Light Center Length (in)"" : ""1 Inch""}, {""Street Legal"" : ""No""}, {""Overall Length (in)"" : ""1-13/16 Inch""}, {""Color Temperature (Kelvin)"" : ""6000K""}, {""Color"" : ""Cool White""}, {""Industry Number"" : ""7443""}, {""Number Of Filaments"" : ""2""}, {""Bulb Type"" : ""LED""}, {""Amperage (A)"" : ""0.16 Amp""}, {""Base Type"" : ""T20DC""}, {""Bulb Diameter (in)"" : ""13/16 Inch""}]"
